"date","rights","n"
"1872","autre accès restreint",5
"1873","accès dans Gallica",8741
"1873","accès dans Retronews",11407
"1873","autre accès restreint",2
"1874","accès dans Gallica",9052
"1874","accès dans Retronews",11554
"1874","autre accès restreint",3
"1875","accès dans Gallica",10242
"1875","accès dans Retronews",12258
"1875","autre accès restreint",2
"1876","accès dans Gallica",10489
"1876","accès dans Retronews",12892
"1876","autre accès restreint",20
"1877","accès dans Gallica",11119
"1877","accès dans Retronews",12599
"1877","autre accès restreint",19
"1878","accès dans Gallica",11180
"1878","accès dans Retronews",13172
"1878","autre accès restreint",15
"1879","accès dans Gallica",11635
"1879","accès dans Retronews",13930
"1879","autre accès restreint",18
"1880","accès dans Gallica",13393
"1880","accès dans Retronews",14401
"1880","autre accès restreint",27
"1881","accès dans Gallica",14276
"1881","accès dans Retronews",15243
"1881","autre accès restreint",28
"1882","accès dans Gallica",16326
"1882","accès dans Retronews",17295
"1882","autre accès restreint",20
"1883","accès dans Gallica",16801
"1883","accès dans Retronews",16320
"1883","autre accès restreint",20
"1884","accès dans Gallica",17307
"1884","accès dans Retronews",16125
"1884","autre accès restreint",20
"1885","accès dans Gallica",17271
"1885","accès dans Retronews",16752
"1885","autre accès restreint",8
"1886","accès dans Gallica",16559
"1886","accès dans Retronews",18210
"1886","autre accès restreint",7
"1887","accès dans Gallica",16419
"1887","accès dans Retronews",19436
"1888","accès dans Gallica",17144
"1888","accès dans Retronews",20031
"1888","autre accès restreint",1
"1889","accès dans Gallica",18152
"1889","accès dans Retronews",21676
"1889","autre accès restreint",3
"1890","accès dans Gallica",18443
"1890","accès dans Retronews",21375
"1890","autre accès restreint",3
"1891","accès dans Gallica",19562
"1891","accès dans Retronews",20738
"1892","accès dans Gallica",20029
"1892","accès dans Retronews",21248
"1892","autre accès restreint",6
"1893","accès dans Gallica",20772
"1893","accès dans Retronews",21772
"1893","autre accès restreint",9
"1894","accès dans Gallica",20810
"1894","accès dans Retronews",22804
"1894","autre accès restreint",7
"1895","accès dans Gallica",22142
"1895","accès dans Retronews",22111
"1895","autre accès restreint",5
"1896","accès dans Gallica",21811
"1896","accès dans Retronews",21935
"1896","autre accès restreint",3
"1897","accès dans Gallica",22138
"1897","accès dans Retronews",21711
"1897","autre accès restreint",3
"1898","accès dans Gallica",22308
"1898","accès dans Retronews",21874
"1898","autre accès restreint",4
"1899","accès dans Gallica",22265
"1899","accès dans Retronews",21337
"1899","autre accès restreint",6
"1900","accès dans Gallica",22909
"1900","accès dans Retronews",21373
"1900","autre accès restreint",6
"1901","accès dans Gallica",22918
"1901","accès dans Retronews",21884
"1901","autre accès restreint",4
"1902","accès dans Gallica",23291
"1902","accès dans Retronews",22536
"1902","autre accès restreint",2
"1903","accès dans Gallica",23895
"1903","accès dans Retronews",22610
"1903","autre accès restreint",3
"1904","accès dans Gallica",24129
"1904","accès dans Retronews",22323
"1904","autre accès restreint",3
"1905","accès dans Gallica",22908
"1905","accès dans Retronews",21928
"1905","autre accès restreint",2
"1906","accès dans Gallica",23014
"1906","accès dans Retronews",22103
"1906","autre accès restreint",1
"1907","accès dans Gallica",23335
"1907","accès dans Retronews",20976
"1908","accès dans Gallica",23447
"1908","accès dans Retronews",19736
"1908","autre accès restreint",3
"1909","accès dans Gallica",22888
"1909","accès dans Retronews",18420
"1910","accès dans Gallica",23119
"1910","accès dans Retronews",18757
"1911","accès dans Gallica",23701
"1911","accès dans Retronews",18792
"1911","autre accès restreint",3
"1912","accès dans Gallica",25075
"1912","accès dans Retronews",18201
"1912","autre accès restreint",7
"1913","accès dans Gallica",26176
"1913","accès dans Retronews",18655
"1913","autre accès restreint",6
"1914","accès dans Gallica",23682
"1914","accès dans Retronews",15479
"1914","autre accès restreint",490
"1915","accès dans Gallica",20766
"1915","accès dans Retronews",11111
"1915","autre accès restreint",1161
"1916","accès dans Gallica",23921
"1916","accès dans Retronews",11518
"1916","autre accès restreint",1197
"1917","accès dans Gallica",23668
"1917","accès dans Retronews",12125
"1917","autre accès restreint",1331
"1918","accès dans Gallica",22169
"1918","accès dans Retronews",12596
"1918","autre accès restreint",1338
"1919","accès dans Gallica",24058
"1919","accès dans Retronews",13986
"1919","autre accès restreint",1747
"1920","accès dans Gallica",23508
"1920","accès dans Retronews",14523
"1920","autre accès restreint",1
"1921","accès dans Gallica",24775
"1921","accès dans Retronews",14951
"1921","autre accès restreint",1
"1922","accès dans Gallica",25193
"1922","accès dans Retronews",14109
"1922","autre accès restreint",1
"1923","accès dans Gallica",26107
"1923","accès dans Retronews",15034
"1923","autre accès restreint",6
"1924","accès dans Gallica",26426
"1924","accès dans Retronews",13912
"1924","autre accès restreint",2
"1925","accès dans Gallica",26452
"1925","accès dans Retronews",13313
"1925","autre accès restreint",2
"1926","accès dans Gallica",26258
"1926","accès dans Retronews",12898
"1926","autre accès restreint",2
"1927","accès dans Gallica",26400
"1927","accès dans Retronews",12741
"1927","autre accès restreint",1
"1928","accès dans Gallica",26446
"1928","accès dans Retronews",13219
"1928","autre accès restreint",1
"1929","accès dans Gallica",24749
"1929","accès dans Retronews",13537
"1929","autre accès restreint",1
"1930","accès dans Gallica",24855
"1930","accès dans Retronews",12713
"1930","autre accès restreint",3
"1931","accès dans Gallica",25021
"1931","accès dans Retronews",12942
"1931","autre accès restreint",1
"1932","accès dans Gallica",23482
"1932","accès dans Retronews",12925
"1932","autre accès restreint",1
"1933","accès dans Gallica",23271
"1933","accès dans Retronews",12555
"1933","autre accès restreint",1
"1934","accès dans Gallica",24216
"1934","accès dans Retronews",12595
"1934","autre accès restreint",2
"1935","accès dans Gallica",23576
"1935","accès dans Retronews",12539
"1935","autre accès restreint",1
"1936","accès dans Gallica",23444
"1936","accès dans Retronews",12150
"1936","autre accès restreint",2
"1937","accès dans Gallica",22022
"1937","accès dans Retronews",11415
"1937","autre accès restreint",1
"1938","accès dans Gallica",20634
"1938","accès dans Retronews",10810
"1939","accès dans Gallica",17160
"1939","accès dans Retronews",9467
"1940","accès dans Gallica",11388
"1940","accès dans Retronews",6996
"1941","accès dans Gallica",10728
"1941","accès dans Retronews",6788
"1942","accès dans Gallica",10293
"1942","accès dans Retronews",6196
"1943","accès dans Gallica",10092
"1943","accès dans Retronews",5979
"1943","autre accès restreint",2
"1944","accès dans Gallica",8594
"1944","accès dans Retronews",4706
"1945","accès dans Gallica",5536
"1945","accès dans Retronews",2132
"1946","accès dans Gallica",5932
"1946","accès dans Retronews",2270
"1946","autre accès restreint",1
"1947","accès dans Gallica",5765
"1947","accès dans Retronews",2386
"1948","accès dans Gallica",5030
"1948","accès dans Retronews",2579
"1949","accès dans Gallica",4295
"1949","accès dans Retronews",2837
"1949","autre accès restreint",1
"1950","accès dans Gallica",3369
"1950","accès dans Retronews",2783
"1951","accès dans Gallica",1083
"1951","accès dans Retronews",2315
"1952","accès dans Gallica",987
"1952","accès dans Retronews",1990
"1953","accès dans Gallica",813
"1953","accès dans Retronews",1641
"1954","accès dans Gallica",1026
"1954","accès dans Retronews",1673
"1954","autre accès restreint",1
"1955","accès dans Gallica",963
"1955","accès dans Retronews",1704
"1956","accès dans Gallica",877
"1956","accès dans Retronews",1541
"1956","autre accès restreint",1
"1957","accès dans Gallica",896
"1957","accès dans Retronews",1470
"1958","accès dans Gallica",995
"1958","accès dans Retronews",1490
"1959","accès dans Gallica",902
"1959","accès dans Retronews",1099
