"date","principales_villes","n"
"1718","Paris",78
"1719","Autre",18
"1719","Lyon",1
"1719","N/A",53
"1719","Paris",103
"1719","Rouen",2
"1720","Autre",15
"1720","N/A",14
"1720","Paris",84
"1721","Autre",14
"1721","Bruxelles",1
"1721","N/A",16
"1721","Paris",72
"1721","Rouen",3
"1721","Toulouse",3
"1722","Autre",9
"1722","Bordeaux",1
"1722","Bruxelles",1
"1722","Lyon",1
"1722","N/A",10
"1722","Paris",76
"1722","Rouen",1
"1722","Toulouse",2
"1723","Autre",16
"1723","Lyon",4
"1723","N/A",41
"1723","Paris",53
"1723","Rouen",1
"1723","Toulouse",2
"1724","Autre",46
"1724","N/A",24
"1724","Paris",73
"1724","Rouen",4
"1725","Autre",31
"1725","Bordeaux",1
"1725","N/A",26
"1725","Paris",81
"1726","Autre",6
"1726","N/A",19
"1726","Paris",48
"1727","Autre",17
"1727","Bruxelles",1
"1727","Lyon",1
"1727","N/A",22
"1727","Paris",81
"1728","Autre",36
"1728","N/A",17
"1728","Paris",66
"1728","Rouen",1
"1729","Autre",19
"1729","N/A",14
"1729","Paris",126
"1729","Rouen",8
"1729","Toulouse",1
"1730","Autre",18
"1730","Montpellier",1
"1730","N/A",10
"1730","Paris",81
"1731","Autre",23
"1731","N/A",34
"1731","Paris",83
"1732","Autre",26
"1732","N/A",23
"1732","Paris",63
"1732","Rouen",1
"1733","Autre",22
"1733","N/A",30
"1733","Paris",84
"1733","Rouen",1
"1733","Toulouse",2
"1734","Autre",32
"1734","N/A",32
"1734","Paris",114
"1734","Rouen",1
"1735","Autre",26
"1735","Lyon",1
"1735","N/A",50
"1735","Paris",98
"1736","Autre",49
"1736","Bruxelles",1
"1736","N/A",21
"1736","Paris",89
"1736","Toulouse",1
"1737","Autre",43
"1737","Bruxelles",1
"1737","N/A",24
"1737","Paris",163
"1738","Autre",23
"1738","Lyon",1
"1738","N/A",51
"1738","Paris",98
"1738","Rouen",1
"1738","Toulouse",2
"1739","Autre",45
"1739","Bordeaux",1
"1739","N/A",30
"1739","Paris",86
"1739","Rouen",1
"1740","Autre",42
"1740","Bruxelles",4
"1740","N/A",23
"1740","Paris",90
"1740","Rouen",1
"1740","Toulouse",1
"1741","Autre",26
"1741","Bordeaux",2
"1741","Bruxelles",2
"1741","N/A",36
"1741","Paris",87
"1741","Toulouse",1
"1741","Tours",1
"1742","Autre",66
"1742","Bordeaux",2
"1742","Bruxelles",1
"1742","N/A",47
"1742","Paris",107
"1742","Rouen",2
"1743","Autre",17
"1743","Bordeaux",1
"1743","Bruxelles",2
"1743","N/A",27
"1743","Paris",148
"1744","Autre",42
"1744","Bruxelles",3
"1744","Lyon",1
"1744","N/A",62
"1744","Paris",200
"1744","Toulouse",1
"1745","Autre",43
"1745","Lille",4
"1745","N/A",74
"1745","Paris",172
"1745","Rouen",1
"1745","Toulouse",3
"1746","Autre",27
"1746","Bordeaux",1
"1746","N/A",33
"1746","Paris",177
"1746","Rouen",1
"1747","Autre",27
"1747","Lille",1
"1747","N/A",23
"1747","Paris",238
"1747","Rouen",1
"1748","Autre",32
"1748","Lille",3
"1748","N/A",46
"1748","Paris",164
"1749","Autre",31
"1749","Bordeaux",1
"1749","Lille",2
"1749","N/A",26
"1749","Paris",163
"1749","Rouen",3
"1750","Autre",97
"1750","Bordeaux",1
"1750","Lille",1
"1750","Lyon",6
"1750","N/A",91
"1750","Paris",125
"1751","Autre",42
"1751","Bordeaux",1
"1751","Bruxelles",2
"1751","N/A",113
"1751","Paris",155
"1751","Toulouse",1
"1752","Autre",53
"1752","Bruxelles",1
"1752","N/A",86
"1752","Paris",116
"1752","Rouen",1
"1752","Toulouse",2
"1753","Autre",37
"1753","N/A",76
"1753","Paris",162
"1753","Rouen",2
"1753","Toulouse",2
"1754","Autre",47
"1754","Bordeaux",1
"1754","Bruxelles",1
"1754","Lille",1
"1754","Lyon",1
"1754","N/A",141
"1754","Paris",139
"1754","Toulouse",1
"1755","Autre",45
"1755","Montpellier",1
"1755","N/A",124
"1755","Paris",120
"1755","Rouen",9
"1755","Toulouse",1
"1756","Autre",77
"1756","Lyon",5
"1756","N/A",71
"1756","Paris",196
"1756","Toulouse",5
"1757","Autre",48
"1757","Bruxelles",1
"1757","Lyon",3
"1757","Montpellier",1
"1757","N/A",93
"1757","Paris",173
"1757","Toulouse",2
"1758","Autre",62
"1758","Bruxelles",1
"1758","Lyon",1
"1758","Montpellier",1
"1758","N/A",76
"1758","Paris",189
"1758","Rouen",4
"1758","Toulouse",2
"1759","Autre",62
"1759","N/A",104
"1759","Paris",219
"1759","Rouen",3
"1759","Toulouse",3
"1760","Autre",74
"1760","Bruxelles",2
"1760","Lyon",1
"1760","N/A",92
"1760","Paris",141
"1760","Rouen",2
"1760","Toulouse",2
"1761","Autre",54
"1761","Lille",1
"1761","Lyon",2
"1761","N/A",103
"1761","Paris",205
"1761","Toulouse",6
"1762","Autre",50
"1762","Lille",4
"1762","Lyon",3
"1762","N/A",112
"1762","Paris",187
"1762","Rouen",3
"1762","Toulouse",2
"1763","Autre",69
"1763","Bordeaux",3
"1763","Bruxelles",1
"1763","Lyon",9
"1763","N/A",90
"1763","Paris",218
"1763","Rouen",2
"1763","Toulouse",2
"1763","Tours",1
"1764","Autre",70
"1764","Bruxelles",1
"1764","Lyon",2
"1764","N/A",46
"1764","Paris",200
"1764","Toulouse",1
"1765","Autre",70
"1765","Lille",4
"1765","Lyon",2
"1765","N/A",81
"1765","Paris",152
"1765","Rouen",1
"1766","Autre",67
"1766","Lyon",3
"1766","Montpellier",1
"1766","N/A",57
"1766","Paris",169
"1766","Rouen",2
"1766","Toulouse",1
"1767","Autre",59
"1767","Bruxelles",3
"1767","Lille",1
"1767","Lyon",7
"1767","N/A",74
"1767","Paris",131
"1768","Autre",87
"1768","Lille",1
"1768","Lyon",7
"1768","N/A",72
"1768","Paris",205
"1768","Rouen",2
"1768","Toulouse",1
"1769","Autre",83
"1769","Lyon",7
"1769","Montpellier",3
"1769","N/A",75
"1769","Paris",142
"1769","Toulouse",5
"1770","Autre",128
"1770","Bruxelles",1
"1770","Lyon",8
"1770","N/A",63
"1770","Paris",164
"1770","Rouen",2
"1770","Toulouse",2
"1771","Autre",81
"1771","Bruxelles",2
"1771","Lille",7
"1771","Lyon",2
"1771","Montpellier",1
"1771","N/A",56
"1771","Paris",178
"1771","Rouen",2
"1771","Toulouse",1
"1772","Autre",101
"1772","Bordeaux",1
"1772","Lille",3
"1772","Lyon",5
"1772","N/A",69
"1772","Paris",257
"1772","Rouen",5
"1773","Autre",85
"1773","Bordeaux",2
"1773","Bruxelles",3
"1773","Lille",6
"1773","Lyon",2
"1773","Montpellier",1
"1773","N/A",70
"1773","Paris",127
"1774","Autre",127
"1774","Bordeaux",1
"1774","Bruxelles",8
"1774","Lyon",5
"1774","N/A",85
"1774","Paris",161
"1774","Rouen",4
"1775","Autre",99
"1775","Bruxelles",3
"1775","Lyon",3
"1775","Montpellier",1
"1775","N/A",82
"1775","Paris",352
"1775","Rouen",3
"1775","Toulouse",2
"1775","Tours",1
"1776","Autre",96
"1776","Montpellier",1
"1776","N/A",78
"1776","Paris",264
"1777","Autre",143
"1777","Bruxelles",3
"1777","Lille",6
"1777","Lyon",1
"1777","N/A",111
"1777","Paris",169
"1777","Rouen",2
"1777","Toulouse",1
"1778","Autre",110
"1778","Bruxelles",1
"1778","Lille",5
"1778","Lyon",5
"1778","N/A",66
"1778","Paris",171
"1778","Rouen",5
"1778","Toulouse",3
"1778","Tours",6
"1779","Autre",102
"1779","Bruxelles",7
"1779","Lille",7
"1779","Lyon",4
"1779","N/A",95
"1779","Paris",255
"1779","Rouen",1
"1779","Tours",1
"1780","Autre",115
"1780","Bordeaux",1
"1780","Bruxelles",3
"1780","Lyon",1
"1780","Montpellier",9
"1780","N/A",133
"1780","Paris",181
"1780","Rouen",8
"1781","Autre",83
"1781","Bruxelles",8
"1781","Lille",4
"1781","Lyon",13
"1781","N/A",92
"1781","Paris",215
"1781","Toulouse",1
"1782","Autre",121
"1782","Bordeaux",1
"1782","Bruxelles",2
"1782","Lille",1
"1782","Lyon",1
"1782","N/A",110
"1782","Paris",156
"1782","Rouen",1
"1782","Toulouse",8
"1782","Tours",1
"1783","Autre",136
"1783","Bordeaux",1
"1783","Bruxelles",3
"1783","Lille",1
"1783","Lyon",2
"1783","Montpellier",1
"1783","N/A",111
"1783","Paris",149
"1784","Autre",126
"1784","Bordeaux",2
"1784","Bruxelles",4
"1784","Lille",1
"1784","Lyon",7
"1784","N/A",123
"1784","Paris",182
"1784","Toulouse",2
"1785","Autre",149
"1785","Bruxelles",2
"1785","Lyon",8
"1785","N/A",108
"1785","Paris",184
"1786","Autre",89
"1786","Bruxelles",11
"1786","Lille",1
"1786","Lyon",2
"1786","Montpellier",2
"1786","N/A",120
"1786","Paris",188
"1786","Rouen",2
"1786","Toulouse",7
"1787","Autre",193
"1787","Bordeaux",2
"1787","Bruxelles",3
"1787","Lille",1
"1787","Lyon",7
"1787","Montpellier",6
"1787","N/A",140
"1787","Paris",211
"1787","Rouen",1
"1788","Autre",188
"1788","Bruxelles",4
"1788","Lyon",2
"1788","Montpellier",2
"1788","N/A",244
"1788","Paris",181
"1788","Rouen",3
"1788","Toulouse",2
"1789","Autre",183
"1789","Bordeaux",1
"1789","Bruxelles",15
"1789","Lyon",3
"1789","N/A",756
"1789","Paris",557
"1789","Rouen",2
"1789","Toulouse",2
"1790","Autre",163
"1790","Bordeaux",3
"1790","Bruxelles",3
"1790","Lille",2
"1790","Lyon",6
"1790","Montpellier",1
"1790","N/A",490
"1790","Paris",970
"1790","Rouen",2
"1790","Toulouse",5
"1790","Tours",3
"1791","Autre",142
"1791","Bordeaux",5
"1791","Bruxelles",6
"1791","Lille",2
"1791","Lyon",6
"1791","N/A",364
"1791","Paris",621
"1791","Rouen",8
"1791","Toulouse",3
"1792","Autre",96
"1792","Bordeaux",1
"1792","Lille",2
"1792","Lyon",9
"1792","N/A",225
"1792","Paris",582
"1792","Rouen",1
"1792","Toulouse",8
"1793","Autre",184
"1793","Bordeaux",9
"1793","Bruxelles",3
"1793","Lille",3
"1793","Lyon",14
"1793","Montpellier",3
"1793","N/A",286
"1793","Paris",643
"1793","Rouen",11
"1793","Toulouse",22
"1793","Tours",1
"1794","Autre",148
"1794","Bordeaux",4
"1794","Bruxelles",3
"1794","Lille",4
"1794","Lyon",2
"1794","Montpellier",2
"1794","N/A",168
"1794","Paris",445
"1794","Rouen",3
"1794","Toulouse",10
"1794","Tours",5
"1795","Autre",105
"1795","Bordeaux",2
"1795","Bruxelles",8
"1795","Lyon",2
"1795","N/A",176
"1795","Paris",304
"1795","Toulouse",3
"1795","Tours",1
"1796","Autre",97
"1796","Bordeaux",1
"1796","Bruxelles",3
"1796","Lille",2
"1796","Lyon",2
"1796","Montpellier",1
"1796","N/A",120
"1796","Paris",272
"1796","Rouen",1
"1796","Toulouse",1
"1797","Autre",120
"1797","Bordeaux",2
"1797","Bruxelles",3
"1797","Lyon",4
"1797","Montpellier",4
"1797","N/A",140
"1797","Paris",577
"1797","Rouen",3
"1797","Toulouse",6
"1798","Autre",86
"1798","Bordeaux",1
"1798","Bruxelles",2
"1798","Lille",1
"1798","Lyon",13
"1798","N/A",125
"1798","Paris",552
"1798","Rouen",5
"1798","Toulouse",8
"1798","Tours",1
"1799","Autre",83
"1799","Bordeaux",3
"1799","Lyon",1
"1799","Montpellier",1
"1799","N/A",134
"1799","Paris",535
"1799","Rouen",2
"1799","Toulouse",9
"1800","Autre",52
"1800","Bordeaux",1
"1800","Bruxelles",2
"1800","Lyon",3
"1800","N/A",94
"1800","Paris",353
"1800","Rouen",2
"1800","Toulouse",4
"1801","Autre",62
"1801","Bordeaux",4
"1801","Bruxelles",6
"1801","Lyon",3
"1801","N/A",81
"1801","Paris",445
"1801","Rouen",4
"1801","Toulouse",2
"1802","Autre",100
"1802","Bruxelles",2
"1802","Lille",2
"1802","Lyon",4
"1802","Montpellier",1
"1802","N/A",85
"1802","Paris",501
"1802","Rouen",3
"1802","Toulouse",1
"1802","Tours",3
"1803","Autre",70
"1803","Bordeaux",3
"1803","Bruxelles",5
"1803","Lille",1
"1803","Lyon",5
"1803","Montpellier",1
"1803","N/A",56
"1803","Paris",508
"1803","Rouen",2
"1803","Toulouse",4
"1803","Tours",1
"1804","Autre",62
"1804","Bordeaux",2
"1804","Bruxelles",1
"1804","Lyon",17
"1804","Montpellier",3
"1804","N/A",133
"1804","Paris",363
"1804","Toulouse",2
"1805","Autre",78
"1805","Bordeaux",1
"1805","Lille",3
"1805","Lyon",4
"1805","Montpellier",5
"1805","N/A",64
"1805","Paris",290
"1805","Rouen",2
"1805","Toulouse",5
"1805","Tours",1
"1806","Autre",72
"1806","Bordeaux",2
"1806","Bruxelles",2
"1806","Lyon",4
"1806","Montpellier",2
"1806","N/A",62
"1806","Paris",371
"1806","Rouen",1
"1806","Toulouse",3
"1807","Autre",95
"1807","Bordeaux",1
"1807","Lille",1
"1807","Lyon",2
"1807","Montpellier",3
"1807","N/A",46
"1807","Paris",299
"1808","Autre",48
"1808","Bordeaux",1
"1808","Lille",2
"1808","Lyon",3
"1808","Montpellier",2
"1808","N/A",67
"1808","Paris",294
"1808","Rouen",1
"1808","Toulouse",1
"1809","Autre",39
"1809","Bordeaux",1
"1809","Bruxelles",5
"1809","Lyon",6
"1809","Montpellier",1
"1809","N/A",35
"1809","Paris",224
"1809","Toulouse",1
"1809","Tours",1
"1810","Autre",76
"1810","Bordeaux",5
"1810","Lille",1
"1810","Lyon",10
"1810","Montpellier",2
"1810","N/A",89
"1810","Paris",323
"1810","Rouen",1
"1810","Toulouse",1
"1811","Autre",94
"1811","Bordeaux",8
"1811","Bruxelles",2
"1811","Lille",2
"1811","Lyon",13
"1811","Montpellier",2
"1811","N/A",42
"1811","Paris",428
"1811","Toulouse",4
"1812","Autre",67
"1812","Bordeaux",2
"1812","Bruxelles",5
"1812","Lille",1
"1812","Lyon",6
"1812","Montpellier",2
"1812","N/A",36
"1812","Paris",471
