"title","ark"
"Revue comique normande ","cb32856631f"
"L'Indépendant","cb32896239x"
"Le Maine ","cb32810894m"
"Le Cultivateur aveyronnais ","cb32753461x"
"Journal du département de la Haute Garonne ","cb328008336"
"Le Réveil de Mauriac ","cb34425431m"
"L'Homme enchaîné ","cb32787180z"
"Bulletin quotidien ","cb328285133"
"La Dépêche financière","cb327560997"
"Le Conservateur bazadais ","cb32747425t"
"Le Cri du peuple ","cb344311629"
"L'Avenir de Luchon ","cb32708391r"
"L'Observateur du Centre ","cb328278021"
"L'Argus ","cb32701844x"
"Le Nouvelliste de l'Est ","cb328270155"
"La Liberté de Bône ","cb32806755p"
"Benjamin ","cb344457597"
"Revue spirite","cb34350795x"
"France libre ","cb44498563s"
"Paris capital ","cb32832272j"
"Le Progrès artistique ","cb328438223"
"Les Belles images ","cb327110547"
"Strassburger privilegirte Zeitung","cb345436031"
"Bulletin des arrêts de la Cour de cassation rendus en matière criminelle","cb34508686x"
"Journal du Gard ","cb328009115"
"Artistica ","cb32702956f"
"France soir ","cb32778160c"
"Le Cri des travailleurs ","cb327524203"
"Indochine française","cb32790979g"
"L'Indépendant du Blanc ","cb327897776"
"Le Devoir socialiste ","cb32757010w"
"La République nouvelle ","cb328530881"
"Journal des mutilés","cb328001218"
"Le Monde comique ","cb32818215r"
"La Croix du Rhône ","cb327532125"
"La Gazette de Mostaganem ","cb32780536w"
"Pariser Zeitung ","cb344249981"
"Le Sanctuaire ","cb32864734g"
"La Croix de l'Algérie et de la Tunisie","cb32753003n"
"Les Contemporains ","cb32747804z"
"Journal officiel de l'Algérie","cb328020266"
"Le Réveil républicain ","cb32854997q"
"L'École et la famille ","cb32764384r"
"L'Écho de Rive de","cb32760975g"
"Recueil de médecine vétérinaire","cb375835704"
"Semaine religieuse du Diocèse de Lyon  ","cb328670766"
"Le Réveil de Souk Ahras","cb32854311h"
"Le Courrier des tribunaux ","cb327511112"
"Moniteur de l'île Bourbon ","cb328186820"
"Bulletin de la statistique vinicole","cb32724982w"
"Les Droits de l'homme ","cb32759074m"
"La Presse libre ","cb344456516"
"L'Europe nouvelle ","cb32771271m"
"Bulletin municipal officiel de la ville d'Alger","cb32731184v"
"L'Avenir normand ","cb32708914z"
"Le Semeur algérien ","cb32867269g"
"Saïgon sportif ","cb32864046j"
"L'Univers illustré ","cb328854407"
"Le Socialiste ","cb328689073"
"L'Afrique du Nord illustrée ","cb326834810"
"L'Eveil ","cb32771481g"
"Die Wacht im Osten ","cb419368233"
"Le Moniteur des consulats et du commerce international ","cb443361466"
"Le Bonnet rouge ","cb34431415m"
"Bulletin des arrêts de la Cour de cassation rendus en matière civile","cb34488540t"
"Les Nouvelles de Versailles ","cb328266325"
"Journal général de la cour et de la ville","cb32801365p"
"L'Avenir de Souk Ahras ","cb32708507k"
"Journal des contributions indirectes","cb32799460v"
"Le Miroir des sports ","cb38728672j"
"Gazette de Paris ","cb32780569v"
"Bulletin de la presse allemande ","cb34440187m"
"Le Petit Vouzinois ","cb328376976"
"Rustica ","cb34377198d"
"Paris turf ","cb32833036c"
"Candide ","cb32737062q"
"Journal du dimanche ","cb328008785"
"L'Évolution algérienne et tunisienne","cb327717819"
"La Souveraineté ","cb328713832"
"L'Écho charentais ","cb32759644b"
"Le Républicain de Belfort","cb328522870"
"L' Écho de Tiaret ","cb327611776"
"Journal des arts","cb32799201s"
"Les Affiches de Paris","cb32683217b"
"Mostaganem","cb328202407"
"Le Mémorial de Lombez ","cb32813865r"
"Le Spectateur militaire  ","cb32871670j"
"La Croix des marins","cb32753142t"
"L'Echo de Tlemcen","cb327611803"
"Le Capitaliste ","cb32737285x"
"Journal officiel de la Guinée française","cb328020742"
"La Guerre mondiale ","cb327844744"
"Nîmes journal ","cb328238351"
"Le Cabinet de lecture ","cb32734907b"
"Gazette universelle","cb32781565q"
"Les Spectacles ","cb32871596z"
"Rouen gazette","cb32862901k"
"Bulletin de la Chambre de commerce de Paris","cb327221210"
"Le Farceur ","cb327732070"
"Le Mutilé de l'Algérie ","cb32821316w"
"La Revue des sports ","cb34428287d"
"L'Europe","cb327712003"
"Tunisie France","cb32882245p"
"L'Echo de Chine","cb327599267"
"Les Travaux ","cb32880417h"
"Le Don Quichotte ","cb32758549j"
"La Bataille ","cb32710239n"
"Le Torero ","cb32878076n"
"La Lutte sociale de Seine et","cb328098770"
"Royat mondain ","cb32863155j"
"Les Temps nouveaux ","cb34359892b"
"Annales de l'Institut Pasteur ","cb34348753q"
"Le Petit démocrate de Saint Denis et de la région ","cb328361638"
"La Charcuterie française ","cb32740196t"
"Armenia ","cb327022257"
"La Comédie politique ","cb32744799g"
"Le Travailleur ","cb32880064x"
"La Constitution ","cb32747565b"
"Bulletin officiel du Ministère de l'intérieur","cb34350539w"
