"date","is_quotidien","n"
"1990","Autre périodicité",354
"1991","Autre périodicité",360
"1992","Autre périodicité",372
"1993","Autre périodicité",414
"1994","Autre périodicité",406
"1995","Autre périodicité",427
"1996","Autre périodicité",377
"1997","Autre périodicité",343
"1998","Autre périodicité",334
"1999","Autre périodicité",240
"2000","Autre périodicité",267
"2001","Autre périodicité",228
"2002","Autre périodicité",196
"2003","Autre périodicité",168
"2004","Autre périodicité",168
"2005","Autre périodicité",152
"2006","Autre périodicité",142
"2007","Autre périodicité",136
"2008","Autre périodicité",116
"2009","Autre périodicité",111
"2010","Autre périodicité",66
"2011","Autre périodicité",43
"2012","Autre périodicité",43
"2013","Autre périodicité",31
"2014","Autre périodicité",15
"2015","Autre périodicité",16
"2016","Autre périodicité",11
"2017","Autre périodicité",4
"2018","Autre périodicité",1
