"date","rights","n"
"2009","document sous droits",19
"2010","document libre de droits",15
"2010","document sous droits",13
"2011","document libre de droits",11
"2011","document sous droits",10
"2012","document libre de droits",9
"2012","document sous droits",15
"2013","document libre de droits",6
"2013","document sous droits",4
"2014","document libre de droits",7
"2014","document sous droits",2
"2015","document libre de droits",4
"2016","document libre de droits",4
