"date","principales_sources","n"
"1856","Bibliothèque nationale de France",7706
"1856","Bibliothèque nationale et universitaire de Strasbourg",68
"1856","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1857","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",35
"1857","Autre",219
"1857","Banque de France",309
"1857","Bibliothèque Carré d'art / Nîmes",155
"1857","Bibliothèque nationale de France",8049
"1857","Bibliothèque nationale et universitaire de Strasbourg",108
"1857","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1858","Autre",222
"1858","Banque de France",310
"1858","Bibliothèque Carré d'art / Nîmes",1
"1858","Bibliothèque nationale de France",7674
"1858","Bibliothèque nationale et universitaire de Strasbourg",108
"1858","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1859","Autre",220
"1859","Banque de France",3
"1859","Bibliothèque Carré d'art / Nîmes",157
"1859","Bibliothèque du Ministère des Affaires étrangères",17
"1859","Bibliothèque nationale de France",8279
"1859","Bibliothèque nationale et universitaire de Strasbourg",2
"1859","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1860","Autre",229
"1860","Banque de France",308
"1860","Bibliothèque Carré d'art / Nîmes",309
"1860","Bibliothèque nationale de France",8675
"1860","Bibliothèque nationale et universitaire de Strasbourg",7
"1860","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1861","Autre",283
"1861","Banque de France",308
"1861","Bibliothèque Carré d'art / Nîmes",316
"1861","Bibliothèque nationale de France",8738
"1861","Bibliothèque nationale et universitaire de Strasbourg",3
"1861","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1862","Autre",301
"1862","Banque de France",305
"1862","Bibliothèque Carré d'art / Nîmes",381
"1862","Bibliothèque nationale de France",8394
"1862","Bibliothèque nationale et universitaire de Strasbourg",4
"1862","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1863","Autre",306
"1863","Banque de France",310
"1863","Bibliothèque Carré d'art / Nîmes",514
"1863","Bibliothèque du Ministère des Affaires étrangères",33
"1863","Bibliothèque nationale de France",9772
"1863","Bibliothèque nationale et universitaire de Strasbourg",48
"1863","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1864","Autre",237
"1864","Banque de France",309
"1864","Bibliothèque Carré d'art / Nîmes",514
"1864","Bibliothèque du Ministère des Affaires étrangères",52
"1864","Bibliothèque nationale de France",9303
"1864","Bibliothèque nationale et universitaire de Strasbourg",110
"1864","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1865","Autre",277
"1865","Banque de France",305
"1865","Bibliothèque Carré d'art / Nîmes",514
"1865","Bibliothèque du Ministère des Affaires étrangères",53
"1865","Bibliothèque nationale de France",10287
"1865","Bibliothèque nationale et universitaire de Strasbourg",109
"1865","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1866","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",8
"1866","Autre",402
"1866","Banque de France",305
"1866","Bibliothèque Carré d'art / Nîmes",537
"1866","Bibliothèque du Ministère des Affaires étrangères",52
"1866","Bibliothèque nationale de France",9891
"1866","Bibliothèque nationale et universitaire de Strasbourg",123
"1866","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1867","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",61
"1867","Autre",328
"1867","Banque de France",309
"1867","Bibliothèque Carré d'art / Nîmes",526
"1867","Bibliothèque du Ministère des Affaires étrangères",77
"1867","Bibliothèque nationale de France",10212
"1867","Bibliothèque nationale et universitaire de Strasbourg",3
"1868","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",166
"1868","Autre",303
"1868","Banque de France",311
"1868","Bibliothèque Carré d'art / Nîmes",554
"1868","Bibliothèque du Ministère des Affaires étrangères",53
"1868","Bibliothèque nationale de France",11889
"1868","Bibliothèque nationale et universitaire de Strasbourg",3
"1869","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",174
"1869","Autre",296
"1869","Banque de France",310
"1869","Bibliothèque Carré d'art / Nîmes",525
"1869","Bibliothèque du Ministère des Affaires étrangères",53
"1869","Bibliothèque nationale de France",14490
"1869","Bibliothèque nationale et universitaire de Strasbourg",6
"1870","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",173
"1870","Autre",293
"1870","Banque de France",308
"1870","Bibliothèque Carré d'art / Nîmes",596
"1870","Bibliothèque du Ministère des Affaires étrangères",84
"1870","Bibliothèque nationale de France",15347
"1870","Bibliothèque nationale et universitaire de Strasbourg",2
"1871","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",166
"1871","Autre",265
"1871","Banque de France",297
"1871","Bibliothèque Carré d'art / Nîmes",499
"1871","Bibliothèque du Ministère des Affaires étrangères",1
