"date","count","base","ratio","mot","url","resolution","corpus","langue","bibli","search_mode"
"1974",43,610264,7.04613085484315e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1975",47,489926,9.59328551658822e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1976",39,486771,8.01198099311586e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1977",28,511733,5.47160335565617e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1978",51,625608,8.1520696666283e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1979",17,570321,2.98077749197382e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1980",24,569438,4.21468184420429e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1981",38,580088,6.55073023403346e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1982",41,661212,6.2007344089339e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1983",23,638590,3.60168496218231e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1984",36,679603,5.29721028306232e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1985",48,742052,6.46854937389832e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1986",61,681446,8.95155302107577e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1987",70,847013,8.26433596650819e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1988",66,903709,7.30323588677329e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1989",79,846081,9.33716748160046e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1990",78,997174,7.82210526949158e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1991",44,893060,4.92688061272479e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1992",54,895803,6.02811109138951e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1993",83,935410,8.87311446317658e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1994",75,952230,7.87624838536908e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1995",94,1125402,8.35257090355269e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1996",94,1270504,7.39863865048831e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1997",124,1295528,9.57138711012035e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1998",113,1323032,8.54098767074417e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1999",200,1317213,0.000151835731958309,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2000",144,1600615,8.99654195418636e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2001",164,1770184,9.2645736262445e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2002",172,1900556,9.04998326805419e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2003",136,1825910,7.4483408273135e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2004",168,2083172,8.06462452452318e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2005",251,2256089,0.000111254476219688,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2006",271,2769769,9.78420944129276e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2007",247,3040359,8.12404061494054e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2008",333,2999492,0.000111018799183328,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2009",394,3095816,0.000127268545675841,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2010",231,2672047,8.64505751582962e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2011",247,2873770,8.59498150513089e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2012",235,2805546,8.37626615282729e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2013",235,2810142,8.36256673150325e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2014",235,3128183,7.51234822259439e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2015",252,2790556,9.03045844627379e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2016",220,3167141,6.94632793424732e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2017",196,3145501,6.23112184672648e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2018",192,2928584,6.55606941784835e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"2019",185,2861528,6.4650773992077e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
