"date","Mean","Max","Min","Median","Std"
"1719",231.497175141243,1126,0,28,307.61596343149
"1720",122.238938053097,1156,0,8,232.839624233394
"1721",152.54128440367,850,0,18,218.677571379099
"1722",203.059405940594,810,4,38,248.40538729191
"1723",238.82905982906,1060,0,122,267.558220882931
"1724",380.673469387755,1148,0,408,325.952916241555
"1725",259.892086330935,1024,0,74,300.393550815763
"1726",162.547945205479,1089,0,24,264.010471230461
"1727",158.155737704918,1042,0,33,235.680341732618
"1728",243.608333333333,1122,0,94,263.366833533766
"1729",204.922619047619,942,0,48,255.320908723557
"1730",244.145454545455,935,4,137,254.302566173909
"1731",187.892857142857,666,2,76,196.615232342004
"1732",269.787610619469,876,0,182,254.122174333508
"1733",159.143884892086,1112,0,24,235.682406085863
"1734",259.754189944134,1098,0,64,311.50812192378
"1735",247.017142857143,1174,0,136,273.243806636771
"1736",142.826086956522,825,0,82,182.41637005822
"1737",170.480519480519,1065,0,50,219.308673298793
"1738",300.625,1096,0,141.5,315.889377110767
"1739",249.687116564417,1184,2,106,287.291212893524
"1740",232.981366459627,1004,0,128,248.446661077627
"1741",179.083870967742,884,0,54,215.433358329257
"1742",296.431111111111,832,0,198,290.802900099619
"1743",134.65641025641,720,0,18,197.588946165622
"1744",92.6957928802589,1014,0,12,191.091103285763
"1745",92.4949494949495,1089,2,10,197.07739804199
"1746",107.100418410042,894,0,4,201.791530561981
"1747",93.2758620689655,928,2,6,174.938920937974
"1748",125.951020408163,1178,2,12,235.424898507081
"1749",130.283185840708,1118,0,12,217.070514668045
"1750",189.065420560748,1445,0,96,222.486331224585
"1751",182.296178343949,978,0,113,193.383439853648
"1752",171.722007722008,960,0,84,198.77508602403
"1753",200.939068100358,884,0,92,222.274410448292
"1754",233.457831325301,1119,0,176,219.825324844561
"1755",223.76,1116,0,106.5,252.384883656545
"1756",170.54802259887,999,0,48,210.556618882631
"1757",188.613707165109,1126,0,48,258.387258415593
"1758",166.577380952381,868,0,52,208.213337695533
"1759",171.687979539642,1135,0,48,224.823736847357
"1760",180.200636942675,1116,0,80,216.178768466506
"1761",142.380053908356,908,0,36,202.717933528465
"1762",139.722991689751,1116,0,33,219.36060050348
"1763",156.592405063291,869,0,44,201.699627010263
"1764",170.79375,1105,0,74,204.046681513513
"1765",156.248387096774,941,0,85,176.124274620674
"1766",192.376666666667,1004,0,77,223.495747804093
"1767",234.843636363636,978,0,167,217.77791436858
"1768",205.661333333333,984,0,117,221.493556776274
"1769",216.606349206349,1103,0,136,216.855900284548
"1770",266.108695652174,1185,0,203,245.225279578479
"1771",245.712121212121,1036,0,142.5,257.32333717063
"1772",218.213151927438,1090,0,107,243.646147870407
"1773",173.304054054054,942,0,86.5,195.67237088887
"1774",163.989769820972,861,0,49,202.801355120386
"1775",149.498168498168,992,0,34,219.935572293211
"1776",209.425968109339,890,0,82,237.614847713265
"1777",276.543577981651,867,0,232,233.193048988588
"1778",273.838709677419,866,0,194,252.627424134328
"1779",218.108050847458,968,0,106,227.758007913206
"1780",265.106430155211,1854,0,265,243.546796285197
"1781",190.762019230769,955,0,78,223.768293671781
"1782",218.062189054726,934,0,138,223.726863250336
"1783",259.240099009901,978,0,192,251.713027896637
"1784",195.111856823266,1026,0,100,218.736908165105
