"date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien","sdewey","sdewey_nom","sdewey2","sdewey_nom2"
"1836-184.","https://gallica.bnf.fr/ark:/12148/cb451132809/date","Paris","Assemblée générale",9,"cb451132809_date",2566,"1836","1843-01-10","1836-01-01","1843-01-10",FALSE,63,"Agriculture","",""
"1899-19..","https://gallica.bnf.fr/ark:/12148/cb327025748/date","Roubaix","Art et photographie ",9,"cb327025748_date",396,"1899-12","1901-01-01","1899-12-01","1901-01-01",FALSE,77,"Photographie","",""
"1932-1936","https://gallica.bnf.fr/ark:/12148/cb32699916k/date","Paris","Antoine document ",9,"cb32699916k_date",2009,"1932-07","1937","1932-07-01","1937-12-31",FALSE,5,"Périodiques","",""
"1859-1871","https://gallica.bnf.fr/ark:/12148/cb32697840p/date","Paris","Annuaire encyclopédique ",9,"cb32697840p_date",4017,"1859","1869","1859-01-01","1869-12-31",FALSE,3,"Encyclopédies","5","Périodiques"
"18??","https://gallica.bnf.fr/ark:/12148/cb32697344p/date","Pnômpenh","Annuaire du Cambodge",9,"cb32697344p_date",3652,"1888","1897","1888-01-01","1897-12-31",FALSE,1,"Bibliographie","",""
"1902-1946","https://gallica.bnf.fr/ark:/12148/cb326966010/date","Paris","Annuaire de la Société des amis du Louvre",9,"cb326966010_date",3286,"1902","1910","1902-01-01","1910-12-31",FALSE,6,"Organisations","",""
"189.-19..","https://gallica.bnf.fr/ark:/12148/cb345361484/date","Paris","Annuaire de la Saint Cyrienne ",9,"cb345361484_date",13680,"1894-04","1931-09-15","1894-04-01","1931-09-15",FALSE,37,"Éducation","",""
"1880-1891","https://gallica.bnf.fr/ark:/12148/cb32696515d/date","Paris, Paris","Annuaire de la presse française ",9,"cb32696515d_date",4017,"1880","1890","1880-01-01","1890-12-31",FALSE,7,"Presse et édition","",""
"1836-1845","https://gallica.bnf.fr/ark:/12148/cb32695929z/date","Falaise","Annuaire de l'arrondissement de Falaise ",9,"cb32695929z_date",3652,"1836","1845","1836-01-01","1845-12-31",FALSE,6,"Organisations","",""
"1895-1940","https://gallica.bnf.fr/ark:/12148/cb328857929/date","Toulouse","Annuaire ",9,"cb328857929_date",6572,"1897","1914","1897-01-01","1914-12-31",FALSE,37,"Éducation","",""
"1938-2000","https://gallica.bnf.fr/ark:/12148/cb34348191m/date","Paris, Paris","Annales des sciences naturelles",9,"cb34348191m_date",4747,"1938","1950","1938-01-01","1950-12-31",FALSE,59,"Zoologie","",""
"1809-1820","https://gallica.bnf.fr/ark:/12148/cb32693409g/date","Montpellier","Annales cliniques ou Essais et cas de médecine pratique",9,"cb32693409g_date",1095,"1818","1820","1818-01-01","1820-12-31",FALSE,61,"Médecine","",""
"1824-1837","https://gallica.bnf.fr/ark:/12148/cb34455032g/date","Paris","Annales agricoles de Roville ",9,"cb34455032g_date",5113,"1824","1837","1824-01-01","1837-12-31",FALSE,50,"Sciences Généralités","",""
"1909-1922","https://gallica.bnf.fr/ark:/12148/cb32869484d/date","Lille","Annales ",9,"cb32869484d_date",2190,"1909","1914","1909-01-01","1914-12-31",FALSE,944,"Histoire de France","",""
"1805-1813","https://gallica.bnf.fr/ark:/12148/cb34454108n/date","Paris","Almanach impérial ",9,"cb34454108n_date",3286,"1805","1813","1805-01-01","1813-12-31",FALSE,7,"Presse et édition","",""
"1850-1865","https://gallica.bnf.fr/ark:/12148/cb32689306d/date","Le Puy","Almanach historique et agricole de la Haute Loire pour ",9,"cb32689306d_date",5478,"1851","1865","1851-01-01","1865-12-31",FALSE,5,"Périodiques","",""
"1851-1861","https://gallica.bnf.fr/ark:/12148/cb326850503/date","Paris","Album de l'École de dessin ",9,"cb326850503_date",2922,"1851-11-25","1859-11-25","1851-11-25","1859-11-25",FALSE,70,"Arts et loisirs Généralités","",""
"1939-1939","https://gallica.bnf.fr/ark:/12148/cb32684160f/date","Paris","Agir pour la paix",9,"cb32684160f_date",181,"1939-02-01","1939-08-01","1939-02-01","1939-08-01",FALSE,32,"Science politique","",""
"1917-1924","https://gallica.bnf.fr/ark:/12148/cb328817465/date","Barcelone puis New York puis Zurich puis Paris","391 ",9,"cb328817465_date",2556,"1917-06","1924-05","1917-06-01","1924-05-31",FALSE,NA,NA,"",""
"1884-1885","https://gallica.bnf.fr/ark:/12148/cb34410768c/date","Paris","L'Echo des missions d'Afrique de la Congrégation du Saint-Esprit et du Saint Coeur de Marie",9,"cb34410768c_date",303,"1884-10","1885-07","1884-10-01","1885-07-31",FALSE,96,"Histoire de l'Afrique","",""
"1974-1974","https://gallica.bnf.fr/ark:/12148/cb343746386/date","Paris","Comptes rendus hebdomadaires des séances de l'Académie des sciences. Série B, Sciences physiques",9,"cb343746386_date",-1,"1974-04","1974-03","1974-04-01","1974-03-31",FALSE,53,"Physique","",""
"1899-1910","https://gallica.bnf.fr/ark:/12148/cb344296794/date","Tours","Bulletin et mémoire de la Société archéologique de Touraine",9,"cb344296794_date",4381,"1899","1910","1899-01-01","1910-12-31",FALSE,1,"Bibliographie","",""
"1912-1927","https://gallica.bnf.fr/ark:/12148/cb344107880/date","Paris","Annales apostoliques des P.P. du Saint-Esprit",9,"cb344107880_date",5843,"1912","1927","1912-01-01","1927-12-31",FALSE,27,"Histoire du christianisme","",""
"1938-1940","https://gallica.bnf.fr/ark:/12148/cb328943251/date","Hànôi, 42 rue Richaud","Zân ",8,"cb328943251_date",580,"1938-07-15","1940-02-15","1938-07-15","1940-02-15",FALSE,0,"Savoir livre informatique","",""
"1923-1926","https://gallica.bnf.fr/ark:/12148/cb32889474h/date","Vienne","Vienna ",8,"cb32889474h_date",822,"1923-10","1925","1923-10-01","1925-12-31",FALSE,93,"Histoire de l'Antiquité","",""
"1941","https://gallica.bnf.fr/ark:/12148/cb32886801p/date","S. l.","Valmy",8,"cb32886801p_date",760,"1941-01","1943-01","1941-01-01","1943-01-31",FALSE,NA,NA,"",""
"189?-1901","https://gallica.bnf.fr/ark:/12148/cb328839199/date","Paris","Union des yachts français  ",8,"cb328839199_date",2921,"1892","1899","1892-01-01","1899-12-31",FALSE,79,"Loisirs sports arts du spectacle","",""
"1934-193?","https://gallica.bnf.fr/ark:/12148/cb328330320/date","Paris","The Paris tribune ",8,"cb328330320_date",779,"1934-12-01","1937-01-18","1934-12-01","1937-01-18",FALSE,7,"Presse et édition","",""
"18??","https://gallica.bnf.fr/ark:/12148/cb32830247v/date","Cairo","The Osmanli",8,"cb32830247v_date",364,"1898","1898","1898-01-01","1898-12-31",FALSE,7,"Presse et édition","",""
"1907-1912","https://gallica.bnf.fr/ark:/12148/cb427778578/date","Paris, Paris","Texas Jack ",8,"cb427778578_date",364,"1907","1907","1907-01-01","1907-12-31",FALSE,84,"Littérature francophone","",""
"1933-1940","https://gallica.bnf.fr/ark:/12148/cb32876855d/date","Paris","Terre d'Europe ",8,"cb32876855d_date",2564,"1933-05-15","1940-05-22","1933-05-15","1940-05-22",FALSE,94,"Histoire de l'Europe","",""
"1937","https://gallica.bnf.fr/ark:/12148/cb32875736m/date","Tourane","Tam Báo tap chi",8,"cb32875736m_date",NA,"1937-11","1938-02","1937-11-01","1938-02-31",FALSE,0,"Savoir livre informatique","",""
