n,annee,mois
8044978,1861,4
8356296,1861,5
8506152,1861,6
8453859,1861,7
8542820,1861,8
8284954,1861,9
8788451,1861,10
8105504,1861,11
7894964,1861,12
8346239,1862,1
7885249,1862,2
8637875,1862,3
8443302,1862,4
8931368,1862,5
8385380,1862,6
8934909,1862,7
8969152,1862,8
8632122,1862,9
9293064,1862,10
8962953,1862,11
8726577,1862,12
8797357,1863,1
8192087,1863,2
9092367,1863,3
8819488,1863,4
9171787,1863,5
8501674,1863,6
9257585,1863,7
8905617,1863,8
8928856,1863,9
9310126,1863,10
8708278,1863,11
9170697,1863,12
8841122,1864,1
8479858,1864,2
9240752,1864,3
9496469,1864,4
8669442,1864,5
9137139,1864,6
9749114,1864,7
8960337,1864,8
9116084,1864,9
8996943,1864,10
9131639,1864,11
9271422,1864,12
9066087,1865,1
8331023,1865,2
9709534,1865,3
9386715,1865,4
9572458,1865,5
9391537,1865,6
9919438,1865,7
10020794,1865,8
10012868,1865,9
9818548,1865,10
9515083,1865,11
10076002,1865,12
9470094,1866,1
9121782,1866,2
10250179,1866,3
9494099,1866,4
9573325,1866,5
9234992,1866,6
9019652,1866,7
9431988,1866,8
9458592,1866,9
9331675,1866,10
9202209,1866,11
9321204,1866,12
8896919,1867,1
8397971,1867,2
9958510,1867,3
8316014,1867,4
9036041,1867,5
8657361,1867,6
9344537,1867,7
9361739,1867,8
9216617,1867,9
9993972,1867,10
9022636,1867,11
9328632,1867,12
9124325,1868,1
8800889,1868,2
9234247,1868,3
9057346,1868,4
9605191,1868,5
8717868,1868,6
9495881,1868,7
9255572,1868,8
9522997,1868,9
10164418,1868,10
9065491,1868,11
9931967,1868,12
9253636,1869,1
8518692,1869,2
9344662,1869,3
9824504,1869,4
9442467,1869,5
9558675,1869,6
9649287,1869,7
9471950,1869,8
9718296,1869,9
10145211,1869,10
9540153,1869,11
10448322,1869,12
9207432,1870,1
8756383,1870,2
10043604,1870,3
9434511,1870,4
9836332,1870,5
9377097,1870,6
10618177,1870,7
11114409,1870,8
11795382,1870,9
11597022,1870,10
10874153,1870,11
11566981,1870,12
9855985,1871,1
9309177,1871,2
10708241,1871,3
10158998,1871,4
10330647,1871,5
10865088,1871,6
9722893,1871,7
9886003,1871,8
9925993,1871,9
10192308,1871,10
10286125,1871,11
10333184,1871,12
11014874,1872,1
10800047,1872,2
13880813,1872,3
12193542,1872,4
12541099,1872,5
12469469,1872,6
12790638,1872,7
13139338,1872,8
12422874,1872,9
13491885,1872,10
13358499,1872,11
12940409,1872,12
14074381,1873,1
13017835,1873,2
14768390,1873,3
13529656,1873,4
14365258,1873,5
12680482,1873,6
13435678,1873,7
13412390,1873,8
13064955,1873,9
14023266,1873,10
13261474,1873,11
13108837,1873,12
14155450,1874,1
13149510,1874,2
14529519,1874,3
13936182,1874,4
14693756,1874,5
13877370,1874,6
14409866,1874,7
13871685,1874,8
13898316,1874,9
15052973,1874,10
13754913,1874,11
14641817,1874,12
14947317,1875,1
13692568,1875,2
15102689,1875,3
15283333,1875,4
14570445,1875,5
15285561,1875,6
14394995,1875,7
13983675,1875,8
14293862,1875,9
15808553,1875,10
15180225,1875,11
15952464,1875,12
14795361,1876,1
15293794,1876,2
17219409,1876,3
